id,author,full_name,ori_name,work1,work2,work3
0,J.K.罗琳,J.K.罗琳,J. K. Rowling,哈利·波特与凤凰社,哈利·波特与死亡圣器,哈利·波特与魔法石
1,T·S·艾略特,T·S·艾略特,T. S. Eliot,荒原,,
2,三岛由纪夫,三岛由纪夫,三島由紀夫,假面的告白,金阁寺,
3,上野千鹤子,上野千鹤子,上野 千鶴子,厌女,始于极限：女性主义往复书简,
4,东野圭吾,东野圭吾,東野 圭吾,嫌疑人X的献身,白夜行,解忧杂货店
5,中岛敦,中岛敦,中島敦,山月记,,
6,丹·布朗,丹·布朗,Dan Brown,达·芬奇密码,数字城堡,地狱
7,丹尼尔·凯斯,丹尼尔·凯斯,Daniel Keyes,献给阿尔杰农的花,,
8,丹尼尔·笛福,丹尼尔·笛福,Daniel Defoe,鲁滨逊漂流记,,
9,乔伊斯,詹姆斯·乔伊斯,James Joyce,一个青年艺术家的画像,尤利西斯,
10,乔叟,杰弗雷·乔叟,Geoffrey Chaucer,坎特伯雷故事集,,
11,乔治·奥威尔,乔治·奥威尔,George Orwell,1984,动物庄园,缅甸岁月
12,乔治·马丁,乔治·马丁,George R. R. Martin,冰与火之歌,,
13,乔纳森·斯威夫特,乔纳森·斯威夫特,Jonathan Swift,格列佛游记,,
14,亨利·大卫·梭罗,亨利·大卫·梭罗,Henry David Thoreau,瓦尔登湖,,
15,伍迪·艾伦,伍迪·艾伦,Woody Allen,门萨的娼妓,,
16,伏尼契,艾捷尔·丽莲·伏尼契,Ethel Lilian Voynich,牛虻,,
17,但丁,但丁,Dante Alighieri,神曲,,
18,儒勒·凡尔纳,儒勒·凡尔纳,Jules Verne,八十天环游地球,海底两万里,神秘岛
19,列夫·托尔斯泰,列夫·托尔斯泰,Leo Tolstoy,安娜·卡列尼娜,战争与和平,
20,刘易斯·卡罗尔,刘易斯·卡罗尔,Lewis Carroll ,爱丽丝漫游奇境记,爱丽丝镜中漫游记,
21,加缪,阿尔贝·加缪,Albert Camus,局外人,西西弗神话,鼠疫
22,加西亚·马尔克斯,加西亚·马尔克斯,Gabriel Garcia Marquez,百年孤独,迷宫中的将军,霍乱时期的爱情
23,博尔赫斯,豪尔赫·路易斯·博尔赫斯,Jorge Luis Borges,小径分叉的花园,沙之书,环形废墟
24,卡勒德·胡赛尼,卡勒德·胡赛尼,Khaled Hosseini,追风筝的人,灿烂千阳,群山回唱
25,卡夫卡,弗朗茨·卡夫卡,Franz Kafka,变形记,审判,卡夫卡短篇集
26,卡洛斯·富恩特斯,卡洛斯·富恩特斯,Carlos Fuentes,戴面具的日子,玻璃边界,盲人之歌
27,司汤达,司汤达,Stendhal,红与黑,司汤达短篇小说选,
28,坂口安吾,坂口安吾,坂口 安吾,盛开的樱花林下,关于难以理解的失恋,吹雪物语
29,埃克多·马洛,埃克多·马洛,Hector Malot,苦儿流浪记,,
30,埃莱娜·费兰特,埃莱娜·费兰特,Elena Ferrante,那不勒斯四部曲,,
